Style,Style#,Category,OGMin,OGMax,FGMin,FGMax,ABVMin,ABVMax,IBUMin,IBUMax,ColorMin,ColorMax,CO@Min,CO2Max
Fruit Beer,29A, Fruit Beer,1.02,1.09,1.006,1.016,2,10,5,50,2,50,2,3
Fruit Lambic,23F, European Sour Ale,1.04,1.06,1,1.01,5,7,0,10,3,7,2.6,4.5
Fruit & Spice Beer,29B, Fruit Beer,1.02,1.09,1.006,1.016,2,10,5,50,2,50,2,3
German Helles Exportbier, 5C, Pale Bitter European Beer,1.048,1.056,1.01,1.015,4.8,6,20,30,4,7,2.16,2.73
German Leichtbier,5A, Pale Bitter European Beer,1.026,1.034,1.006,1.01,2.4,3.6,15,28,2,5,2.16,2.73
German Pils,5D, Pale Bitter European Beer,1.044,1.05,1.008,1.013,4.4,5.2,22,40,2,5,2.3,2.5
Gose,27, Historical Beer,1.036,1.056,1.006,1.01,4.2,4.8,5,12,3,4,3.3,4.5
Gueuze,23E, European Sour Ale,1.04,1.06,1,1.006,5,8,0,10,3,7,3,4.5
Helles Bock,4C, Pale Malty European Lager,1.064,1.072,1.011,1.018,6.3,7.4,23,35,6,11,2.16,2.73
Imperial Stout,20C, American Porter & Stout,1.075,1.115,1.018,1.03,8,12,50,90,30,40,1.5,2.3
International Amber Lager,2B, international Lager,1.042,1.055,1.008,1.014,4.6,6,8,25,7,14,2.5,2.75
International Dark Lager, 2C, international Lager,1.044,1.056,1.008,1.012,4.2,6,8,20,14,22,2.21,2.66
International Pale Lager, 2A, international Lager,1.042,1.05,1.008,1.012,4.6,6,18,25,2,6,2,2.5
Irish Extra Stout, 15C, Irish Beer,1.052,1.062,1.01,1.014,5.5,6.5,35,50,25,40,2.3,2.6
Irish Red Ale, 15A, Irish Beer,1.036,1.046,1.01,1.014,3.8,5,18,28,9,14,2,2.5
Irish Stout, 15B, Irish Beer,1.036,1.044,1.007,1.011,4,4.5,25,45,25,40,1,1.5
Kentucky Common,27, Historical Beer,1.044,1.055,1.01,1.018,4,5.5,15,30,11,20,2.2,2.5
Kolsch, 5B, Pale Bitter European Beer,1.044,1.05,1.007,1.011,4.4,5.2,18,30,3.5,5,2.42,2.73
Lambic, 23D,European Sour Ale,1.04,1.054,1.001,1.01,5,6.5,0,10,3,7,3,4.45
Lichtenhainer,27,Historical Beer,1.032,1.04,1.004,1.008,3.5,4.7,5,12,3,6,2.2,2.5
Mixed Fermentation Sour Beer, 28B,American Wild Ale,1.02,1.09,1,1.016,2,10,5,50,2,50,0.5,4
Munich Dunkel, 8A,Dark European Lager,1.048,1.056,1.01,1.016,4.5,5.6,18,28,14,28,2.21,2.66
Munich Helles, 4A,Pale Malty European Lager,1.044,1.048,1.006,1.012,4.7,5.4,16,22,3,5,2.26,2.68
Marzen,6A,Amber Malty European Lager,1.054,1.06,1.01,1.014,5.8,6.3,18,24,8,17,2.57,2.73
Oatmeal Stout,16B,Dark British Beer,1.045,1.065,1.01,1.018,4.2,5.9,25,40,22,40,2,2.4
Old Ale,17B,Strong British Ale,1.055,1.088,1.015,1.022,5.5,9,30,60,10,22,1.5,2.3
Ordinary Bitter,11A,British Bitter,1.03,1.039,1.007,1.011,3.2,3.8,25,35,8,14,0.75,1.3
Oud Bruin,23C,European Sour Ale,1.04,1.074,1.008,1.012,4,8,20,25,15,22,2,2.5
Pale Kellerbier, 7C,Amber Bitter European Beer,1.045,1.051,1.008,1.012,4.7,5.4,20,35,3,7,2.16,4.09
Piwo Grodziskie,27,Historical Beer,1.028,1.032,1.006,1.012,2.5,3.3,20,35,3,6,2.2,2.5
PreProhibition Porter,27,Historical Beer,1.046,1.06,1.01,1.016,4.5,6,20,30,18,30,2.2,2.5
Rauchbier, 6B,Amber Malty European Lager,1.05,1.057,1.012,1.016,4.8,6,20,30,12,22,2.16,2.57
Red IPA,21B,IPA,1.056,1.07,1.008,1.016,5.5,7.5,40,70,11,19,2,2.5
Roggenbier,27,Historical Beer,1.046,1.056,1.01,1.014,4.5,6,10,20,14,19,2.2,2.5
Rye IPA,21B,IPA,1.056,1.075,1.008,1.014,5.5,8,50,75,6,14,2,2.5
Sahti,27,Historical Beer,1.076,1.12,1.016,1.02,7,11,7,15,4,22,2.2,2.5
Saison, 25B,Strong Belgian Ale,1.048,1.065,1.002,1.008,3.5,9.5,20,35,5,22,3,3.5
Schwarzbier, 8B,Dark European Lager,1.046,1.052,1.01,1.016,4.5,5.4,20,30,17,30,2.2,2.6
Scottish Export,14C,Scottish Ale,1.04,1.06,1.01,1.016,3.9,6,15,30,13,22,0.75,1.3
Scottish Heavy, 14B,Scottish Ale,1.035,1.04,1.01,1.015,3.2,3.9,10,20,13,22,0.75,1.3
Scottish Light, 14A,Scottish Ale,1.03,1.035,1.01,1.013,2.5,3.2,10,20,17,22,0.75,1.3
Specialty Fruit eer,29C,Fruit Beer,1.02,1.09,1.006,1.016,2,10,5,50,2,50,2.2,2.5
Specialty IPA,21B,IPA,1.05,1.085,1.008,1.018,3,10,40,100,5,40,2.2,2.5
Specialty Smoked Beer,32B,Smoked Beer,1.02,1.09,1.006,1.016,2,10,5,50,2,50,2.16,2.57
Specialty Wood Aged Beer, 33B,Wood Beer,1.02,1.09,1.006,1.016,2,10,5,50,2,50,2.2,2.5
Spice/Herb or Vegetable Beer,30A,Spiced Beer,1.020,1.090, 1.006,1.016, 2,10,5,50, 2,50, 2.0 , 3.0
Strong Bitter,11C,British Bitter,1.048,1.06,1.01,1.016,4.6,6.2,30,50,8,18,0.75,1.3
Sweet Stout,16A,Dark British Beer,1.044,1.06,1.012,1.024,4,6,20,40,30,40,2,2.4
Trappist Single,26A,Trappist Ale,1.044,1.054,1.004,1.01,4.8,6,25,45,3,5,3,3.5
Tropical Stout, 16C,Dark British Beer,1.056,1.075,1.01,1.018,5.5,8,30,50,30,40,2.3,2.6
Vienna Lager,7A,Amber Bitter European Beer,1.048,1.055,1.01,1.014,4.7,5.5,18,30,9,15,2,2.5
Wee Heavy,17C,Strong British Ale,1.07,1.13,1.018,1.04,6.5,10,17,35,14,25,1.5,2.3
Weissbier,10A,German Wheat Beer,1.044,1.052,1.01,1.014,4.3,5.6,8,15,2,6,3.6,4.48
